(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
133	O PRINCÍPIO DE INCLUSÃO EM EDUCAÇÃO FÍSICA ESCOLAR: UM ESTUDO EXPLORATÓRIO NO MUNICÍPIO DE SÃO JOÃO DEL-REI	Ana Patrícia da Silva	Textual	Dissertação	Digital	Educação	educação física escolar; inclusão	2004	Rio de Janeiro (UFRJ)	O estudo visa identificar possibilidades de inclusão em Educação Física escolar.	Reuber Gerbassi Scofano	-	São João Del rei	-	https://drive.google.com/file/d/1mI8k9r9qNvblDb2k4KCsWKePWsv6SAqg/view?usp=sharing
134	PARA AUMENTO DA INSTRUÇÃO DA MOCIDADE DA NOSSA PÁTRIA: ESTRATÉGIAS DE DIFUSÃO DO LETRAMENTO NA VILA DE SÃO JOÃO DEL REI (1824-1831)	Christianni Cardoso Morais	Textual	Dissertação	Digital	Educação	estratégias de difusão; letramento	2002	Belo Horizonte (UFMG)	O objetivo do trabalho é compreender as atribuições, os usos e a circulação do escrito na Vila de São João del-Rei - entre 1824 e 1831 - através dos projetos de constituição da primeira Biblioteca Pública da Província de Minas Gerais e de uma sociedade de leitura denominada “Sociedade Phylopolytechnica”.	Maria Cristina Soares de Gouvêa	1824-1831	São João Del rei	-	https://drive.google.com/file/d/1PKeyP_XykJlOAnxwWzSI5SusLKndIjeu/view?usp=sharing
135	IMPLANTAÇÃO DE POLÍTICAS PÚBLICAS EM SAÚDE MENTAL: O CASO DE SÃO JOÃO DEL REI	Samira Pontes; Lídia Lopes; Larissa Medeiros Marinho dos Santos; Roberto Calazans	Textual	Artigo	Digital	Saúde	políticas públicas; saúde mental; Psicologia; São João del Rei	2014	São João del-Rei (UFSJ)	O presente artigo discute a implantação das políticas públicas federais em saúde mental no município de São João del Rei.	-	-	São João Del rei	-	https://drive.google.com/file/d/1Ic8cy0yz362jZfWEewMMp6oyYUOSS0oJ/view?usp=sharing
136	MARCAS DE UMA FERROVIA: A ESTRADA DE FERRO OESTE DE MINAS EM SÃO JOÃO DEL-REI (1877-1915)	Bruno Nascimento Campos	Textual	Dissertação	Digital	História	ferrovias; estrada de ferro oeste de Minas; periódicos	2005	São João del-Rei (UFSJ)	O trabalho buscou traçar um panorama geral das marcas deixadas pela ferrovia na cidade de São João del-Rei de 1877 até 1915, identificados principalmente através de alguns periódicos de época. A intenção foi acompanhar a implantação e a expansão da Estrada de Ferro Oeste de Minas e relacioná-las ao contexto da cidade que emerge dos periódicos.	Wlamir Silva.	1877-1915	São João Del rei	-	https://drive.google.com/file/d/1dhtFFCY4xkKCMdHOWmO6AvP8EQsRJhTL/view?usp=sharing
137	DESENVOLVIMENTO DE GUIA ELETRÔNICONA FORMA DE APLICATIVO MÓVEL:UMA ABORDAGEM PARA A SEMANA SANTA DE SÃO JOÃO DEL-REI-MG	Luiz Fernando de Carvalho; Eduardo Abreu Carazza;  Dárlinton B. Feres Carvalho; Fábio Corrêa; Alessandra de Falco Brasileiro 	Textual	Artigo	Digital	Comunicação	guia eletrônico; aplicativo móvel; mashup web; semana santa; sistemas de informação online	2016	Florianópolis (UFSC)	Este artigo apresenta os fundamentos do desenvolvimento de um guia eletrônico que visa contribuir com a difusão e participação na celebração da Semana Santa da cidade de São João del-Rei-MG.	-	-	São João Del rei	-	https://drive.google.com/file/d/1GAjzHjR2g22MaoB9XF5vVdu9bgfUVHK9/view?usp=sharing
138	O TOMBAMENTO DOS BENS ARQUITETÔNICOS E URBANÍSTICOS DE SÃO JOÃO DEL-REI : EMBATES EM TORNO DA PRESERVAÇÃO E DO PROGRESSO	Marcella Franco de Andrade	Textual	Dissertação	Digital	Arquitetura e Urbanismo	São João del Rei; patrimônio cultural; identidade nacional	2013	São Paulo (UPM)	Este trabalho aborda o processo de tombamento arquitetônico e urbano em São João Del Rei, considerando as deliberações e a abrangência dos atos de salvaguarda em nível federal, estadual e municipal, assim como a reação da população perante o patrimônio dentro de um contexto de transformações urbanas associado a busca  pelo progresso econômico. 	José Geraldo Simões Júnior	Século XIX - 1983	São João Del Rei	Arraial Novo de Nossa Senhora do Pilar,  Vila de São João Del Rei, Morro da Forca, Rua Marechal Deodoro, Rua Artur Bernardes, casarão do Comendador Mourão. 	https://drive.google.com/file/d/1Zm-XxYSw1ArQRd8HqGkoGiz9s_djrkc1/view?usp=sharing
139	O CENTRO REGIONAL DE REFERÊNCIA EM POLÍTICAS SOBRE DROGAS DA UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI E A METODOLOGIA DE FORMAÇÃO ATIVA COMO FERRAMENTA DE ENSINO E APRENDIZAGEM	Aline Gomes Martins; Christian Eduardo Resende Santos; Regina Aparecida de Melo Bagniolli; Geisa Fernandes Calvert Sabino; Maria das Mercês Sabino; Amanda Soares Dias	Textual	Artigo	Digital	Saúde 	centros regionais de referência; metodologia de formação ativa; problematização.	2016	São João del-Rei (UFSJ)	Este artigo aborda os Centros Regionais de Referência em Políticas Públicas sobre Drogas (CRRs) da Universidade Federal de São João Del Rei a partir de uma proposta crítico-reflexiva que leve em consideração a experiência dos profissionais, sendo possível pensar em novas formas de ser e estar como profissional e sujeitos ativos.	-	2016	São João del Rei	Centros Regionais de Referência em Políticas Públicas sobre Drogas (CRRs)	https://drive.google.com/file/d/1-rbTTAnFLIuXnKRLpF1F6cMbElm5IWPO/view?usp=sharing
140	OS SALESIANOS EM SÃO JOÃO DEL-REI	José Antônio de Ávila Sacramento	Textual	Artigo 	Digital	História	salesianos; São João Bosco; São Francisco Sales	2013	São João del-Rei (UFSJ)	Este artigo tem como objetivo resgatar a história da origem da Congregação dos Salesianos e o seu trabalho em São João Del Rei.	-	2012	São João del Rei	Congregação dos Salesianos	https://drive.google.com/file/d/1SerYeYER9vsleSjXCFQO2YiI1egNiBV9/view?usp=sharing
141	EVOLUÇÃO ESTRUTURAL DA FAIXA SETENTRIONAL DO GRUPO SÃO JOÃO DEL REI, MINAS GERAIS	Carlos Maurício Noce	Textual	Artigo	Digital	Geografia	São João Del Rei;  evolução estrutural; faixa setentrional	1988	São João del-Rei (UFSJ)	0 Grupo Sao Joao del Rei constitui uma sequência essencialmente metassedimentar, posicionada ao longo da borda meridional do Craton do Sao Francisco, cobrindo uma área extensa na regiao sui do Estado de Minas Gerais. o presente trabalho aborda a faixa setentrional desta unidade, balizada pelas cidades de Barbacena, Carandaí e São João del Rei.	Rudolph A.J. Trouw.	1988	São João del Rei	Craton do São Francisco, barbacena, Carandá e São João del Rei	https://drive.google.com/file/d/1vXeYO-fcO-eB-zdT6ZQigKEBmHjDpoge/view?usp=sharing
142	SÃO JOÃO DEL-REI E DE OUTROS NOMES: UM ESTUDO TOPONÍMICO	Celso Reis Macedo	Textual	Artigo	Digital	Língua Portuguesa	léxico; toponímia; variação; São João del-Rei	2018	São João del-Rei (UFSJ)	O presente trabalho tem como objetivo apresentar os resultados da análise dos topônimos utilizados para nomear a cidade de São João del-Rei – MG. Ao longo dos séculos XVIII – XX, as denominações das localidades mineiras variaram significativamente. Este artigo, adotando o referencial teórico– metodológico da toponímia, traz os resultados da análise de um topônimo que, ainda hoje, gera divergências entre os próprios moradores, bem como a análise da motivação dessa variação e a mudança.	-	Séculos XVIII e XX	São João Del Rei	-	https://drive.google.com/file/d/1vpw-oWWr9SNbXLzjW4LeU6S2TGew9Aib/view?usp=sharing
143	CARACTERIZAÇÃO GEOECOLÓGICA E ANÁLISE DE FRAGMENTOS DA BACIA DO CÓRREGO DO LENHEIRO, SÃO JOÃO DEL-REI – MG	Thaís Ferreira Resende; Gustavo Pyra Almeida; André Batista de Negreiros	Textual	Artigo	Digital	Geografia	ecologia da paisagem; fragmentos florestais; planejamento ambiental; bacia do córrego do Lenheiro; São João del-Rei (MG)	2015	São João del-Rei (UFSJ)	O presente trabalho tem por objetivo discutir os conceitos geoecológicos e aplicá-los à bacia do Córrego do Lenheiro, localizado em São João Del-Rei, Minas Gerais. Foi analisada a composição da bacia como um todo e dois fragmentos florestais de formatos distintos, considerando-se dados de temperatura, umidade e vegetação, e a atuação de fragmentos menores como corredores.	-	2015	São João Del Rei	Bacia do Córrego do Lenheiro.	https://drive.google.com/file/d/1CkoXRJe4H5-mQiGt0uw45dzhxGrGNhwT/view?usp=sharing
144	CONSERVAÇÃO DO ESTROMATÓLITO DO TEJUCO, SÃO JOÃO DEL-REI, MINAS GERAIS : CONTRIBUTOS À GEOMONUMENTALIZAÇÃO A PARTIR DE UM DIÁLOGO ENTRE BRASIL E PORTUGAL.	Luciano J. Alvarenga; João Manuel Bernardo; Paulo de Tarso Amorim Castro	Textual	Artigo	Digital	Geografia	geoconservação; direito ambiental; estromatólito	2016	Belo Horizonte (UFMG)	Discute-se o uso de instrumentos do direito brasileiro para a salvaguarda de afloramento de estromatólito localizado no bairro Tejuco, São João Del-Rei, Minas Gerais. O trabalho apresenta fundamentos conceituais e normativos para a geoconservação e um paralelo entre a proteção do afloramento de estromatólito e o projeto Geomonumentos de Lisboa.	-	2016	São João Del Rei	Bairro Tejuco	https://drive.google.com/file/d/1vqgB9CcStUeWji88GpiyjT-xDEhBcBPb/view?usp=sharing
145	RONAF: AGRICULTURA FAMILIAR CAMPONESA, DESENVOLVIMENTO TERRITORIAL RURAL E MULTIFUNCIONALIDADE EM SÃO JOÃO DEL-REI/ MG	Gabriel Max de Oliveira Dias; Lígia Maria Brochado de Aguiar	Textual	Artigo	Digital	Geografia	desenvolvimento territorial sustentável; agricultura familiar camponesa; políticas públicas; multifuncionalidade; pluriatividade	2016	São João del-Rei (UFSJ)	Este trabalho tem como objetivo apresentar uma análise dos resultados do Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF), em São João del-Rei, realizada a partir de dados e informações em fontes do Estado como IBGE e Banco Central do Brasil e trabalho de campo.revisão bibliográfica, busca de dados e informações em fontes do Estado como IBGE e Banco Central do Brasil e trabalho de campo.	-	1999 a 2012	São João Del Rei	Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF), em São João del-Rei.	https://drive.google.com/file/d/1uxX_qteDlERof6_5lpd9G06s1b2mQsRP/view?usp=sharing
146	PERCEPÇÕES DE PROFISSIONAIS SOBRE A VIOLÊNCIA CONTRA AS MULHERES NOS SERVIÇOS DE PROTEÇÃO NO MUNICÍPIO DE SÃO JOÃO DEL-REI – MG	Ana Caroline Matos Soares; Márcia Barroso Fontes	Textual	Artigo	Digital	Sociologia	violência contra mulheres; delegacia especializada no atendimento à mulher; centro de referência especializada em assistência social; rede de atendimento	2019	São João del-Rei (UFSJ)	Este artigo tem como propósito investigar e apresentar percepções acerca do atendimento em situações de violência contra mulher a partir de estudos feitos na Delegacia Especializada no Atendimento à mulher e no Centro de Referência Especializado em Assistência Social, tendo como base a Política Nacional e o Pacto Nacional pelo Enfrentamento à Violência Contra a Mulher.	-	-	São João del-Rei	-	https://drive.google.com/file/d/1__N1qMAjeLVZdtHzGe7AJriRXYzNuOni/view?usp=sharing
147	NOTAS SOBRE A JUSTIÇA EM SÃO JOÃO DEL-REI	Rogério Medeiros Garcia de Lima	Textual	Artigo	Digital	História	São João del-Rei; justiça; história	2013	São João del-Rei (UFSJ)	O artigo tem como objetivo trazer algumas considerações acerca da justiça sanjoanense desde sua formalização em 1714 até o período de escrita do mesmo.	-	1714-2013	São João del-Rei	-	https://drive.google.com/file/d/1o4N6L9B8flavD_9HqESL-KkOP_3My47x/view?usp=sharing
148	DINÂMICA MIGRATÓRIA NA REGIÃO DE INFLUÊNCIA DE SÃO JOÃO DEL-REI: OS FLUXOS E A ORGANIZAÇÃO DO ESPAÇO REGIONAL	Jadna Tassia; Carlos Lobo	Textual	Artigo	Digital	Geografia	migrações; região de influências; São João del-Rei	2011	Cascavel (Unioeste)	A partir do fenômeno de dispersão crescente para cidades além das capitais, este artigo busca analisar as dinâmicas migratórias na região de influência de São João del-Rei bem como analisar a reestruturação do espaço regional e indicar a relevância da cidade de São João del-Rei.	-	1991-2000	São João del-Rei	-	https://drive.google.com/file/d/11wtBAnz9q0JbNP0N488x0k5jS3L_CH9j/view?usp=sharing
149	ENTRE A PRESERVAÇÃO E O PROGRESSO: O PALIMPSESTO URBANO NA FORMAÇÃO DA PAISAGEM DE SÃO JOÃO DEL- REI/ MG	Tatiana Paiva Xavier	Textual	Dissertação	Digital	Arquitetura	São João del-Rei; morfologia urbana; paisagem urbana; escola inglesa de morfologia urbana; tradição e modernidade	2018	Belo Horizonte (UFMG)	Utilizando conceitos metodológicos da Escola Inglesa de Morfologia urbana, este texto investiga o desenvolvimento do tecido urbano do centro histórico de São joão del-Rei tendo em vista o desenvolvimento cultural, econômico e urbano que atravessa a cidade.	Staël de Alvarenga Pereira Costa	-	São João del-Rei	Centro histórico	https://drive.google.com/file/d/1A-Eb3gunlQXq5xdmFevUv297Eo0wsO52/view?usp=sharing
150	PRÁTICAS DE LEITURA DE JOVENS NA CIDADE DE SÃO JOÃO DEL - REI	Daniela Quintana	Textual	Dissertação	Digital	Educação	leitura; mediação; jovens leitores; educação; práticas de leitura	2020	São João del-Rei (UFSJ)	A dissertação tem como objetivo investigar práticas de leitura de jovens sanjoanenses entre 14 e 18 anos, bem como suas motivações e o impacto da internet neste processo.	Maria do Socorro Alencar Nunes Macedo	-	São João del-Rei	São João del-Rei	https://drive.google.com/file/d/1MZag6SpNM1t-RxjyNLAJBpB9kl-EBQ2v/view?usp=sharing
151	ESTUDO DE ÁREAS HISTÓRICAS-NATURAIS NA CIDADE DE SÃO JOÃO DEL-REI (BRASIL): PARÂMETROS PARA O DESENVOLVIMENTO TURÍSTICO NATURAL	Pedro Henrique Rocha	Textual	Dissertação	Digital	Geografia	roteiro turístico; turismo natural; ciclo do ouro; cidade histórica; turismo cultural	2020	Portugal (Universidade de Évora)	Considerando os atrativos turísticos da cidade de São João del-Rei, tanto históricos como naturais, a dissertação tem como objetivo propor, visualizando também a preservação, que seja explorado o turismo ecológico na cidade.	Ivair Gomes; João Paulo Fernandes	-	São João del-Rei	São João del-Rei	https://drive.google.com/file/d/1HtVXyOWQVAHI4vdZhNKGg2i5CTaShdSp/view?usp=sharing
152	PROJETO DE INTERVENÇÃO: CENTRO SOLIDÁRIO DO TEJUCO / SÃO JOÃO DEL- REI	Julian Stemmler	Textual	TCC	Digital	Saúde	projeto de intervenção; dança em grupo; fitoterapia	2016	Belo Horizonte (UFMG)	O texto apresenta proposta de intervenção a dois grupos entendidos como de risco do bairro Tejuco, os jovens, expostos à violências diversas, má alimentação etc e os idosos. A proposta tem enfoque na dança em grupo pelos jovens e no cultivo de plantas medicinais em horta no Centro Solidário pelos idosos. A proposta tem base na obra de Paulo Freire colocando estratégias participativas no processo educativo.	Helena Mara Dias Pedro	-	São João del-Rei	Tejuco	https://drive.google.com/file/d/1X1ZvP7KCUsyo49NZN-9PeE26BuAH55va/view?usp=sharing
153	ANÁLISE DAS CARACTERÍSTICAS E PONTENCIALIDADES DO TURISMO NA CIDADE DE SÃO JOÃO DEL REI.	Francisco Guerra Ribeiro de Oliveira	Textual	TCC	Digital	Administração	São João dei-Rei; atrativos; turismo	2017	Ouro Preto (UFOP)	O trabalho tem como objetivo analisar as potencialidades turísticas da cidade de São João del-Rei, bem como busca propor práticas para melhorar e ampliar o turismo comercial na cidade de forma sustentável.	Ana Flávia Rezende	-	São João del-Rei	São João del-Rei	https://drive.google.com/file/d/11gQNOt8WurC4gGQPTtB5BuhSI4c15vbf/view?usp=sharing
154	DIÁSPORA AFRICANA E A MEMÓRIA CONGADEIRA EM SÃO JOÃO DEL-REI: “A CONGADA VEM MESMO DA RAÇA NEGRA”	Simone de Assis	Textual	Artigo	Digital	História	congado; história oral; cultura	2019	Juiz de Fora (UFJF)	A pesquisa procurou mapear e compreender memórias do cativeiro e da liberdade em diferentes gerações dos Congados do Bairro São Dimas, São João Del-Rei -MG.	-	1980-1990	São João Del-Rei	São Dimas	https://drive.google.com/file/d/1mSL-D9UcGIcoQzrnLIHYL6x-BRGGRQdd/view?usp=sharing
155	MODIFICAÇÕES DE USO E COBERTURA DA TERRA NO MUNICÍPIO DE SÃO JOÃO DEL-REI - MG COM ÊNFASE PARA ÁREAS DE REGENERAÇÃO DA COBERTURA VEGETAL	Tuiany Rosa, Shayene Bernardo Dutra, André Batista de Negreiros, Gabriel Pereira, Francielle Da Silva Cardozo.	Textual	Artigo	Digital	Geografia 	uso e ocupação da terra; sensoriamento remoto; SIG; paisagens alteradas	2018	Uberlândia (UFU)	A intensificação do uso e ocupação da terra provenientes do aumento populacional tem ocasionado consideráveis modificações na paisagem em todo o planeta. Baseando-se nisso, o presente estudo tem como finalidade analisar as mudanças de uso e cobertura da terra na área de influência urbana de São João del-Rei.	André Batista de Negreiros, Gabriel Pereira, Francielle Cardozo da Silva.	1985-2015	São João Del-Rei	-	https://drive.google.com/file/d/18nqP8o0sEH39Hs3FBxcho42mD0vjBLuF/view?usp=sharing
156	RELAÇÃO DAS COLEÇÕES DE DOCUMENTOS HISTÓRICOS DOS SÉCULOS XVIII E XIX, EXISTENTES NA CIDADE DE SÃO JOÃO DEL REI	Lucy Gonçalves Fontes, Marysia  Malheiros Fiuza	Textual	Artigo	Digital	História	biblioteconomia; levantamento históricos	1975	 Belo Horizonte (UFMG)	Delimitação da área geográfica sob influência cultural de São João Del-Rei. Levantamento dos arquivos históricos da cidade, número e tipo de documentos neles contidos.	-	Séculos XVIII e XIX	São João Del-Rei	-	https://drive.google.com/file/d/19H6Hzt0pS00rTVnENnsLmpsHGeE9-kcq/view?usp=sharing
157	MEMÓRIAS DA TENDA ESPÍRITA PAI JOAQUIM DE ANGOLA EM SÃO JOÃO DEL REI – MINAS GERAIS	Rafael Teodoro Teixeira	Textual	Artigo	Digital	História	 memória; espaços de memória; umbanda; cultura negra	2018	Campinas (UNICAMP)	Quais as memórias que guardam um terreiro fechado? Essa é umas das perguntas que faço quando passo em frente a “Tenda Espírita Pai Joaquim de Angola”, o terreiro chama atenção dos transeuntes por sua suntuosidade, uma pequena ponte leva para entrada do terreiro, sua fachada caiada, portas e janelas azuis, instiga ainda mais a curiosidade dos que passam, no topo uma pequena torre, contendo a imagem de Iemanjá e sobre a torre uma cruz, mostra a imponência desse terreiro.	-	-	São João Del-Rei	Centro histórico	https://drive.google.com/file/d/18s05RuElEFUWvf95EZb6bSDfcydkdYF1/view?usp=sharing
158	ESTUDO SOBRE A IMPORTÂNCIA DO RESGATE DO SABER POPULAR SOBRE PLANTAS MEDICINAIS E SUA TRANSMISSÃO EM ESCOLAS PÚBLICAS DE SÃO JOÃO DEL REI - MG	Otieres Cirino de Carvalho; Gisnaldo Amorim Pinto; Felipe de Carvalho Araújo ; Fagner Daniel Teixeira	Textual	Artigo	Digital	Biologia 	etnobotânica; plantas medicinais; educação; saber popular	2011	-	Em estudos e pesquisas realizadas em anos anteriores, verificamos a necessidade de resgatar o saber popular sobre plantas medicinais, que cada vez mais se perde e dando espaço ao uso indevido destas plantas. 	-	-	São João Del-Rei	-	https://drive.google.com/file/d/1Os8c2CXNEPaldu8g1J7grQgTY6wbccOQ/view?usp=sharing
159	GEOLOGIA ESTRUTURAL E ESTRATIGRAFIA DO GRUPO SAO JOAO DEL-REI NA REGIAO DE SAO JOAO DEL- REI-MG	Claudio de Morisson Valeriano	Textual	Artigo	Digital	Geologia 	geologia; mapeamento; análise estrutural e estratigrafia	1986	São Paulo (UNESP)	Neste trabalho são apresentados resumidamente os principais dados decorrentes de um estudo detalhado  da geologia da região de São João Del-Rei.	-	1985- 1986	São João Del-Rei	-	https://drive.google.com/file/d/12CdVweYB7zmu5UevdhhqWErBFUCUFTa0/view?usp=sharing
160	CENTRO CULTURAL UFSJ: UM ESTUDO AVALIATIVO DO SEU PAPEL EM SÃO JOÃO DEL-REI	 Aline Braga Resende; Telma Valéria de Resende; Déborah Braga Resende	Textual	Artigo	Digital	Cultura	centro cultural; avaliação; extensão	2016	Ouro Preto (UFOP)	O CCUFSJ desenvolve atividades de ensino, cultura e extensão, oferecendo à comunidade o acesso a eventos gratuitos. A atual gestão desenvolveu o presente trabalho para conhecer o quanto o cidadão participa das atividades e avaliar o programa com relação ao mesmo período no ano anterior. Verificamos um resultado positivo com relação ao programa implementado.	Déborah Braga  Resende	-	São João Del-Rei	-	https://drive.google.com/file/d/1CP3XHQqW3PaUhZfPYpsnc4wAlAVqkuVF/view?usp=sharing
161	DESCONTINUIDADE DE EMPRESAS: UM ESTUDO SOB A ÓTICA DOS CONTADORES NA CIDADE DE SÃO JOÃO DEL REI (MG)	Guilherme de Freitas Borges João Paulo de Brito Nascimento Geraldo Alemandro Leite Filho Luiz Gustavo Camarano Nazareth Aline Freire de Oliveira Moraes Keila Graciela Ribeiro Soares	Textual	Artigo	Digital	Ciências contábeis 	contadores; descontinuidade empresarial; fatores	2012	Rio de Janeiro (AEDB)	A Contabilidade, como ciência social, trata as empresas ou entidades como organismos vivos que irão desempenhar suas atividades por um período de tempo indeterminado. Este aspecto é destacado como o princípio da continuidade, referindo-se ao ambiente em que a entidade atua, na premissa de que uma entidade irá operar por um período de tempo relativamente longo. Contudo, esta premissa só é abandonada quando um histórico de fatores apontarem para uma descontinuidade.	-	-	São João del- Rei	-	https://drive.google.com/file/d/1_INX7ipNx2xb8ybZrZT5An_jBZSb-d_x/view?usp=sharing
162	IMPRENSA E POLÍTICA: OS USOS SIMBÓLICOS DA CONJURAÇÃO MINEIRA EM SÃO JOÃO DEL - REI E OURO PRETO (1877 – 1889)	Augusto Henrique Assis Rezende e Claudinei Magno Magre Mendes	Textual	Dissertação	Digital	História	Imprensa; Imprensa. Minas Gerais; Brasil – História;  Conjuração Mineira 1789; Império no Brasil; República.	2014	Assis (UNESP)	A dissertação abarca a presença da figura inconfidente, especialmente de Joaquim José da Silva Xavier, muito antes da ascensão do regime republicano no Brasil. Por meio da historiografia e, principalmente, a partir de alguns jornais partidários de Minas Gerais, mostraram que já havia uma apropriação do imaginário e a representação de alguns membros da Conjuração Mineira. Para tanto, analisaram seis jornais das cidades de Ouro Preto e São João del-Rei, sendo que os três partidos políticos de então estavam representados por esses órgãos de imprensa – ao menos regionalmente.	Claudinei Magno Magre Mendes	1877 – 1889	São João del- Rei e Ouro Preto		https://drive.google.com/file/d/13GxCVy6srJJI6UWqGDGUQDjvOhUOJ0cu/view?usp=sharing
163	DO TEJO AO RIO DAS MORTES: SOBRE FAZER-SE “HOMEM BOM” NA LONGÍNQUA VILA DE SÃO JOÃO DEL REI. SÉCULOS XVIII E XIX	Tarcísio Greggio	Textual	Artigo	Digital	História	Homens bons; família; cultura política.	2013	Rio de Janeiro (UFRJ)	De 1737 a 1759 e de 1808 a 1823, cerca de 50% dos oficiais que serviram à Câmara de São João Del Rei possuía origem reinol. A partir da análise desse número e os dados a ele associados, este artigo desenvolve o seguinte problema: considerando o crescimento por que passa a região em fins do século XVIII e o fato de que o estatuto de homem bom era, a princípio, um direito de primogenitura - ou pelo menos uma qualidade localmente atribuída, a partir de que critérios esses novos elementos lusos foram reconhecidos como iguais pelos homens bons já estabelecidos na região para então serem eleitos oficiais da Câmara são joanense nos dois períodos recortados?		1737  - 182.	São João del- Rei		https://drive.google.com/file/d/1Np6cLMYC1h-K2Z6KSo8lv0O6BvN4UtUN/view?usp=sharing
164	CIDADE E BEM CULTURAL : UM ESTUDO SOBRE PATRIMÔNIO HISTÓRICO E CIDADE NO MUNICÍPIO DE SÃO JOÃO DEL-REI – MG	João Luiz Domingues Barbosa e Brasilmar Ferreira Nunes	Textual	Dissertação	Digital	Gestão de políticas públicas de cultura	Patrimônio Histórico e Cultural;  cidades históricas; São João del-Rei; identidade nacional. 	2008	Brasília (UnB)	O objetivo deste trabalho é a investigação do nível de reconhecimento que a população da cidade de São João del-Rei/MG possui do Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN), através de sua presença e atuação na cidade por meio do Museu Regional, órgão de mediação cultural vinculado ao Departamento de Museus e Centros Culturais-DF (DEMU) e do Escritório Técnico (ET II), órgão fiscalizador vinculado a 13a Superintendência Regional-MG (13SR), a partir da análise de questionários respondidos por funcionários do comércio local, na faixa etária de 18 a 60 anos, residentes no município. 	Brasilmar Ferreira Nunes	2006 - 2008	São João del- Rei		https://drive.google.com/file/d/17wqrMCd6eXG1ZSHUbkGHJEQL0Mm3Nv72/view?usp=sharing
165	PROPOSTA DE INTERVENÇÃO: DIAGNÓSTICO, PREVENÇÃO E CONTROLE DA LEISHMANIOSE TEGUMENTAR AMERICANA NO PROGRAMA DE SAÚDE DA FAMILIA (PSF) TIJUCO EM SÃO JOÃO DEL REI, MINAS GERAIS	Jose Ricardo Lovelle Saldana e Elaine Leandro Machado.	Textual	Trabalho de Conclusão de Curso	Digital	Medicina	Leishmaniose Tegumentar Americana,; saúde da família; educação em saúde.	2016	Juiz de Fora (UFJF)	Este trabalho objetiva elaborar uma proposta de intervenção visando o diagnóstico, prevenção e controle da LTA no Programa de Saúde da Família (PSF) Tijuco, São João del-Rei, Minas Gerais. Para isso são propostas estratégias para o diagnóstico de pacientes infestados, visando tratamento, reabilitação dos indivíduos, além de ações educativas para a prevenção e promoção da saúde de famílias e comunidades no PSF Tijuco em São João del-Rei, Minas Gerais.	Elaine Leandro Machado	2014 - 2016	São João del- Rei	Tijuco	https://drive.google.com/file/d/1VtJP89_1TUQiBQYjuKV0W5Uk6aU8B5ib/view?usp=sharing
166	REDES INTERORGANIZACIONAIS ENTRE FÁBRICAS DE SOUVENIRES EM ESTANHO NO DESTINO TURÍSTICO DE SÃO JOÃO DEL REI E TIRADENTES- MG	Gustavo Melo Silva, Matheus Ribeiro de Almeida e Renan Vilella Ferreira. 	Textual	Artigo	Digital	Ciências administrativas e contábeis e Turismo. 	Souvenires; desenvolvimento local; fábricas de souvenires em estanho; sociologia econômica e das organizações.	2014	São João del-Rei (UFSJ) 	Neste trabalho foi analisada esta realidade numa perspectiva sociológica estrutural a partir de suas redes interorganizacionais. Para alcançar este objetivo foram realizadas pesquisas bibliográficas e análises de dados primários e secundários coletados por meio de entrevistas e visitas às fábricas. Os resultados possibilitaram caracterizar o mercado e o processo produtivo de peças artesanais de estanho, representando graficamente a rede e analisando psicometricamente a sua densidade e as medidas de centralidade dos atores deste mercado de souvenires em estanho dos destinos turísticos de São João del Rei e Tiradentes.	Gustavo Melo Silva	2011	São João del- Rei e Tiradentes	-	https://drive.google.com/file/d/1jODhFlfvirItC-qZ8QPCnbkgW_iHRO6w/view?usp=sharing
167	PLANO DE AÇÃO PARA MODIFICAR FATORES DE RISCO DE COMPLICAÇÕES RENAIS EM PACIENTES DIABÉTICOS DE UM PSF DO MUNICIPIO SÃO JOÃO DEL REI-MG	Eugênio ROberto Toranzo Leyva e Ana Cristina Borges de Oliveira	Textual	Trabalho de Conclusão de Curso	Digital	Medicina	Educação em saúde; hipertensão arterial; diabetes; tratamento; grupos terapêuticos.	2016	Belo Horizonte (UFMG)	O objetivo deste trabalho é analisar a Unidade Básica de Saúde São Miguel de Cajurú, em São João Del Rei, Minas Gerais, com base na proposta de intervenção em uma população de pacientes diabéticos e hipertensos por meio de formação de grupos para ação educativa, seguimento regular, fornecimento de medicação, controles periódicos e atendimento de intercorrências. Nos primeiros dois meses, foram feitas avaliações dos pacientes e familiares de primeira linha em visitas domiciliar, com e objetivo de conhecer as condições, hábitos e estilo de vida que poderiam ser de interesse para o estudo.	Ana Cristina Borges de Oliveira	-	São João del-Rei 	São Miguel de Cajurú	https://drive.google.com/file/d/1DIzzRkp1LHJPXRfW14fCTmay9d4JZyd6/view?usp=sharing
